State,County,Year_detected
Kentucky,Adair,2018
Kentucky,Anderson,2011
Kentucky,Barren,2019
Kentucky,Bath,2014
Kentucky,Bell,2013
Kentucky,Boone,2010
Kentucky,Bourbon,2013
Kentucky,Boyd,2010
Kentucky,Boyle,2011
Kentucky,Bracken,2011
Kentucky,Campbell,2009
Kentucky,Carroll,2013
Kentucky,Crittenden,2019
Kentucky,Daviess,2020
Kentucky,Edmonson,2018
Kentucky,Fayette,2009
Kentucky,Franklin,2009
Kentucky,Garrard,2011
Kentucky,Greenup,2009
Kentucky,Hancock,2018
Kentucky,Hardin,2011
Kentucky,Harrison,2014
Kentucky,Henderson,2020
Kentucky,Henry,2009
Kentucky,Jefferson,2009
Kentucky,Jessamine,2009
Kentucky,Johnson,2014
Kentucky,Kenton,2009
Kentucky,Laurel,2014
Kentucky,Lawrence,2014
Kentucky,McCreary,2014
Kentucky,Monroe,2020
Kentucky,Muhlenberg,2020
Kentucky,Oldham,2009
Kentucky,Owen,2009
Kentucky,Pendleton,2013
Kentucky,Pike,2012
Kentucky,Pulaski,2014
Kentucky,Rockcastle,2013
Kentucky,Rowan,2014
Kentucky,Russell,2018
Kentucky,Scott,2011
Kentucky,Shelby,2009
Kentucky,Spencer,2014
Kentucky,Trimble,2014
Kentucky,Whitley,2013
Kentucky,Woodford,2010
Maine,Aroostook,2018
Maine,Cumberland,2019
Maine,York,2018
Manitoba,Winnipeg,2017
Maryland,Allegany,2011
Maryland,Anne Arundel,2011
Maryland,Baltimore City,2014
Maryland,Calvert,2013
Maryland,Carroll,2014
Maryland,Charles,2008
Maryland,Frederick,2013
Maryland,Garrett,2012
Maryland,Howard,2011
Maryland,Montgomery,2012
Maryland,Prince George's,2003
Maryland,Somerset,2020
Maryland,St. Mary's,2012
Maryland,Washington,2011
Massachusetts,Berkshire,2012
Massachusetts,Bristol,2018
Massachusetts,Essex,2013
Massachusetts,Franklin,2020
Massachusetts,Hampshire,2017
Massachusetts,Suffolk,2014
Michigan,Alcona,2004
Michigan,Alger,2009
Michigan,Allegan,2007
