"mstrlvl","number_of_transects","mean_plotmstr","number_microplots","avrg_perc_cov_seedl","stder_perc_cov_seedl","avrg_density_short_seedl","stder_density_short_seedl","avrg_density_tall_seedlings","stder_density_tall_seedl","avrg_density_seedl","stder_density_seedl","total_number_short_seedlings","total_number_tall_seedlings","total_number_seedlings","number_subplot_quadrants","avrg_density_saplings_stems_per_ha","stder_density_saplings_stems_per_ha","avrg_density_small_trees_stems_per_ha","avrg_density_living_small_trees_stems_per_ha","stder_density_living_small_trees_stems_per_ha","avrg_basal_area_living_small_trees_m_squared_per_ha","stder_basal_area_living_small_trees_m_squared_per_ha","avrg_basal_area_living_big_trees_m_squared_per_ha","stder_basal_area_living_big_trees_m_squared_per_ha"
"hydric",10,4.23333333333333,120,3.03333333333333,1.21666666666667,0.133415435139573,0.0951603066108566,0.238095238095238,0.0994396403887475,0.371510673234811,0.193429921429078,65,116,181,120,359.75636039298,79.3949462875354,477.464662641374,401.20294569171,144.503823276249,0.800314277983418,0.323994705829692,0.0228289613485972,0.0154921244858208
"mesic",8,2.5,96,16.6041666666667,3.60377096644216,1.54197454844007,0.491975689074626,1.30849753694581,0.256326123241934,2.85047208538588,0.715352030145855,601,510,1111,96,472.491072405527,205.329483853393,41.4465852987304,37.3019267688574,30.8173448504468,0.0430167493101482,0.0372635669725719,0,0
"xeric",19,1.47368421052632,228,12.2997076023392,2.59939047948986,0.989542822573676,0.245792643640049,0.835061792412065,0.162469391129832,1.82460461498574,0.398436023312334,916,773,1689,228,516.555336775756,285.503521895779,19.1963131909909,13.9609550479934,7.20118766027246,0.00884319866812548,0.00449180179784794,0,0
