"total","Acer_saccharinum","Acer_saccharum","Betula_alleghaniensis","Carpinus_caroliniana","Frangula_alnus","Fraxinus_nigra","Fraxinus_pennsylvanica_etc","Larix_laricina","Populus","Quercus_white","Quercus_red","Tilia_americana","Ulmus","center_tree_number"
2571.53125643849,17.7392669753086,1.82228395061728,0,1.24806520061728,0,0.58265625,0.145225,0,5.39271604938272,5.7015518904321,0.2890625,6.59830343364198,0.157785493827161,22
633.05843490642,26.8283950617284,0,0,0.1016015625,0,0,0,0,14.2716049382716,2.31310233410494,0,0.51983024691358,2.4594140625,23
3326.78040768476,30.0672497106482,0,0,0.249523051697531,0,1.140078125,1.0508203125,0,0,0.662413194444445,0,3.25814525462963,7.44363184799383,24
2026.8922343609,0.553515625,0,6.31533227237655,0.141875,0.14921875,3.309296875,0,0,0,0,0,0,3.34046537422839,37
2254.69502713518,0.819816743827161,0,6.64959538966049,0,0.517227044753086,1.881640625,0.5120703125,0.130401234567901,0,0,0,0,3.91984326774691,38
1607.51404712416,0.611540798611111,0,1.00945216049383,0,0.1641796875,2.08971953125,0.0328515625,5.68946759259259,0,0,0,0,3.49789014274691,39
186.663204860865,0,0,0,0,0,0,0,2.06079475308642,0,4.15533950617284,0,0.947175925925926,0.637160493827161,40
356.133746116124,0,0,0,0.2956640625,0,0,0,0,0,0,0,4.31651909722222,0.936427469135802,41
197.715631464469,0.398935185185185,0,0.505679012345679,0,0,0,0,1.12306520061728,0,0,0,0,0.774722222222222,42
553.849377580593,0,0,0,0,0,0,0,3.5560725308642,0,2.34340277777778,1.77037808641975,2.70327980324074,0.315123456790123,43
623.848079403417,0,0,0,0.4469921875,0,0,0,1.13756172839506,0,8.00911265432099,0,1.15197916666667,1.16273148148148,44
555.691448681193,0.2025,0,0.703572530864198,0.5455078125,0,0,0,1.25006703317901,0,0,0,0.268950617283951,0.190192901234568,45
2690.65185427734,13.4274672067901,0,0,0,1.4391796875,0,0.6568359375,0,0,0.169453125,0,0,2.10587336033951,61
2241.80052943098,15.5300930748457,0,0,0,0.4184765625,0,0.4248828125,0,0,1.10823543595679,3.62133487654321,0,2.02577449845679,62
4084.48565373182,33.4369256365741,0,0,0,0.4852734375,0,4.5958203125,0,3.26671296296296,0,0,0,1.6149537037037,63
2114.08359978934,4.46840277777778,4.00824508101852,0,1.36976273148148,0,0.05640625,0,0,2.38530864197531,3.25264660493827,5.81052469135802,5.04803915895062,0,64
1716.8102657598,11.1661419753086,1.08940248842593,0,1.06314477237654,0,0.0897265625,0.171640625,0,2.42840277777778,10.4935030864198,1.52426697530864,0.28741512345679,1.81374469521605,65
504.113457864375,8.89868827160494,0,0,0,0.0244140625,0,0.1391796875,0,0,11.3667283950617,0,0,1.5201774691358,66
1209.62668939442,6.44649353780864,0.16526668595679,0,2.18775270061728,0,0,0,0.210069444444444,1.05976080246914,4.82177469135802,2.03854938271605,2.46510030864198,0.250871913580247,70
1258.74858541044,40.0007706404321,0,0,0.122265625,0,0.0625,0.0534765625,0,0,0.759664834104938,0,0,3.22008198302469,71
3430.55041301859,0.87643180941358,0,0,2.19058449074074,0.0187890625,5.5988671875,0.3500390625,0,0,1.21529417438272,0,1.03698302469136,0,72
305.169778999506,26.0827854938272,0,0,0,0,0,0.0328515625,0,0,0,0,2.7531712962963,0.171304012345679,76
196.487584064068,45.1438117283951,0,0,0.0866126543209877,0,0,0,0,0,0.977901234567901,0,1.37617283950617,1.70665895061728,77
1010.68301052955,21.4866280864198,0,0,0.236072530864198,0,0.09,0.3999609375,0,0.397600308641975,0,0,3.70662037037037,1.3764737654321,78
573.498135986999,14.6372979359568,0,0,0.167253086419753,0,0,0,0,0,0.2691015625,0,1.31565586419753,1.2752237654321,103
544.639022077589,8.10722222222222,4.919375,0,0.0594140625,0,0,0,0,0,0,1.80006944444444,3.29598765432099,1.16825906635802,104
1538.74339270174,1.1005787037037,1.13426697530864,0,0.527122395833333,0,0,0.1263671875,0,0,3.29207561728395,0.25,2.6556216242284,6.48790895061728,105
345.69534321272,10.7979861111111,0,0,0.934122781635802,0,0,0,0,0,1.49382716049383,0,1.27096450617284,0.830493827160494,106
364.730077918927,23.9949040316358,0,0,0.0497453703703704,0,0,0,0,0,2.89945216049383,0,0.99820987654321,1.69251543209877,107
664.373643616631,11.8351157407407,0,0,0.240208333333333,0,0,0,0,0,0,0,2.35113425925926,3.55583622685185,108
