"","Park","number_plots","Acer","Betula","Carpinus","Carya","Cornus","Fagus","Frangula","Fraxinus","Juniperus","Larix","Ostrya","Populus","Prunus","Quercus","Rhamnus","Tilia","Ulmus","Unknown","Viburnum"
"1","Indian Springs",11,17.0636399160313,0,16.9423864092215,0,0,1.5708430753732,0.0624442577896291,22.3137609748055,0,0,0.825406634150648,0,0.174610242675782,2.9189120418753,0,1.71689253486038,36.4111039132168,0,0
"2","Island Lake",9,22.9201335236958,0,10.1976056491679,0.903129170443736,0.249886114135365,0.198300182419008,6.49961290174233,26.8073919444181,0,0,1.02249537002857,0,0,5.35700060131393,0,5.07687076006004,20.7675737825752,0,0
"3","Kensington",5,11.973741010124,0,26.8592651718156,0,1.14760907987652,0,0,0,0,13.6043395750018,0,0,3.87776212157,0,0.684981714816293,29.7181068115364,2.55422432540297,0,9.57997018985641
"4","Proud Lake",3,13.0960538031168,4.54904084508827,1.04135360830459,0,0.0931827980999425,0,5.5557017808695,58.3214847821596,0,0,0,0,0,0,0,0,17.3431823823613,0,0
