Species,Aggregate species,Data set 1,Data set 2,Evergreen,Gymnosperm,Shade tolerance,Drought tolerance,Waterlogging tolerance
Ulmus pumila,N,East Asia,East Asia,N,N,2.5pm0.5,3.35pm0.35,1.52pm0.02
Ulmus rubra,N,North America,North America,N,N,3.31pm0.19,3,1.73pm0.24
Ulmus thomasii,N,North America,North America,N,N,3.22pm0.28,2,1
Umbellularia californica,N,North America,North America,Y,N,3.84pm0.16,2,0.95pm0.05
Vaccinium arboreum,N,North America,North America,Y,N,2,3pm0,2
Vaccinium corymbosum,N,North America,North America,N,N,2,2,3.5pm0.5
Vaccinium erythrocarpum,N,North America,North America,Y,N,1,2,3
Vaccinium japonicum,N,East Asia,East Asia,N,N,2.83pm0.6,4,2.5pm0.5
Vaccinium macrocarpon,N,North America,North America,Y,N,1.99pm0.01,1.68pm0.32,3.1pm0.1
Vaccinium myrtillus,N,Europe,North America,N,N,3.02pm0.19,2.6pm0.4,2.92pm0.08
Vaccinium oxycoccus,Y,Europe,North America,Y,N,1.56pm0.19,0.32pm0.42,4.45pm0.18
Vaccinium smallii,N,East Asia,East Asia,N,N,2.67pm0.67,4,2.5pm0.5
Vaccinium uliginosum,Y,Europe,North America,Y,N,2.29pm0.19,2.21,3.19
Vaccinium vitis idaea,N,Europe,North America,Y,N,2.29pm0.19,3.46pm0.42,3.19
Veronica fruticans,N,Europe,Europe,Y,N,1.2pm0,3.46pm0.42,1.04
Viburnum dentatum,N,North America,North America,N,N,4,2,2.5pm0.5
Viburnum furcatum,N,East Asia,East Asia,N,N,3.33pm0.33,1.5,3
Viburnum lantana,N,Europe,Europe,N,N,1.93pm0,3.46pm0.42,1.68pm0.09
Viburnum lentago,N,North America,North America,N,N,4,2,2.5pm0
Viburnum opulus,N,Europe,North America,N,N,2.66pm0,2.21,2.06pm0.07
Viburnum rufidulum,N,North America,North America,N,N,2,3,3
Weigela hortensis,N,East Asia,East Asia,N,N,1.17pm0.17,2.5pm0.5,2.5pm0.5
Yucca brevifolia,N,North America,North America,Y,N,1.17pm0.17,4.95,1.53
Zanthoxylum ailanthoides,N,East Asia,East Asia,N,N,2,4,1
Zanthoxylum clava herculis,N,North America,North America,N,N,2.5,4pm0,1
Zelkova serrata,N,East Asia,East Asia,N,N,2.09pm0.09,3.35pm0.35,1.02pm0.02
Zizyphus jujuba,N,East Asia,East Asia,N,N,1.35,4.95,1.53
