"","Park","number_plots","Acer","Betula","Carpinus","Carya","Cornus","Fagus","Frangula","Fraxinus","Juniperus","Larix","Ostrya","Populus","Prunus","Quercus","Rhamnus","Tilia","Ulmus","Unknown","Viburnum"
"1","Indian Springs",12,78.8159753474015,0,0.59554163376882,0,0,1.52202126530502,0,0,0,0.0734485521017455,0.0876769327733563,0.509550847737928,0,6.62197037874525,0,7.93996788821209,3.76903167317393,0.0648154807803282,0
"2","Island Lake",9,62.767075045787,0,0.114396660923876,0.471536304499073,0,0.122786452938127,0,0,0,0,0,9.98587704458482,0.86315435517686,16.3048873190668,0.0126916085750173,4.98941847549398,4.16686615912822,0.201310573826226,0
"3","Kensington",6,2.50370717799394,2.95441255037634,0,2.495073119915,0,0,0,0,0.348680214471511,20.7061490705945,0.299288877862765,0,0.318592972781603,41.2379957372637,0,19.454097539218,9.51337468381061,0,0.16862805571192
"4","Proud Lake",3,6.93933372296902,44.9576725761413,0,0,0,0,0.248145983505422,0,0,19.5923111890382,0,0,0,0,0,0,28.262536528346,0,0
