"","Park","number_plots","Acer","Betula","Carpinus","Carya","Cornus","Fagus","Frangula","Fraxinus","Juniperus","Larix","Ostrya","Populus","Prunus","Quercus","Rhamnus","Tilia","Ulmus","Unknown","Viburnum"
"1","Indian Springs",12,50.3401360544218,0,6.12244897959184,0,0,0.680272108843537,0,0,0,0.340136054421769,0.680272108843537,1.02040816326531,0,6.80272108843537,0,17.687074829932,15.9863945578231,0.340136054421769,0
"2","Island Lake",9,54.6546546546547,0,1.2012012012012,0.900900900900901,0,0.600600600600601,0,0,0,0,0,2.1021021021021,0.900900900900901,12.3123123123123,0.3003003003003,12.6126126126126,13.8138138138138,0.600600600600601,0
"3","Kensington",6,4.76190476190476,2.85714285714286,0,1.9047619047619,0,0,0,0,0.952380952380952,29.5238095238095,0.952380952380952,0,0.952380952380952,19.047619047619,0,26.6666666666667,11.4285714285714,0,0.952380952380952
"4","Proud Lake",3,10.2564102564103,35.8974358974359,0,0,0,0,1.28205128205128,0,0,19.2307692307692,0,0,0,0,0,0,33.3333333333333,0,0
