"","Park","number_plots","Acer","Betula","Carpinus","Carya","Cornus","Fagus","Frangula","Fraxinus","Juniperus","Larix","Ostrya","Populus","Prunus","Quercus","Rhamnus","Tilia","Ulmus","Unknown","Viburnum"
"1","Indian Springs",11,11.6279069767442,0,27.3255813953488,0,0,0.581395348837209,0.581395348837209,33.1395348837209,0,0,1.74418604651163,0,0.581395348837209,2.90697674418605,0,0.581395348837209,20.9302325581395,0,0
"2","Island Lake",9,10.7784431137725,0,19.7604790419162,0.898203592814371,0.29940119760479,0.29940119760479,9.88023952095808,37.125748502994,0,0,0.898203592814371,0,0,4.79041916167665,0,3.89221556886228,11.377245508982,0,0
"3","Kensington",5,6.89655172413793,0,24.1379310344828,0,3.44827586206897,0,0,0,0,20.6896551724138,0,0,3.44827586206897,0,3.44827586206897,24.1379310344828,3.44827586206897,0,10.3448275862069
"4","Proud Lake",3,8.82352941176471,1.96078431372549,3.92156862745098,0,0.980392156862745,0,13.7254901960784,60.7843137254902,0,0,0,0,0,0,0,0,9.80392156862745,0,0
